,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2008,2008_00,Auckland Central,35208,34203,44317,57872
1,2008,2008_01,Bay of Plenty,36674,36071,44899,56358
2,2008,2008_02,Botany,31602,30919,41969,54408
3,2008,2008_03,Christchurch Central,33023,32116,42226,58309
4,2008,2008_04,Christchurch East,34427,33953,42988,55804
5,2008,2008_05,Clutha-Southland,33799,33345,42394,58166
6,2008,2008_06,Coromandel,36504,35931,45176,56524
7,2008,2008_07,Dunedin North,33020,32547,40789,56830
8,2008,2008_08,Dunedin South,37252,36717,45067,57012
9,2008,2008_09,East Coast,31832,31384,40648,55045
10,2008,2008_10,East Coast Bays,35309,34691,44424,57391
11,2008,2008_11,Epsom,38389,37645,47815,59103
12,2008,2008_12,Hamilton East,33827,33188,42463,55839
13,2008,2008_13,Hamilton West,33800,33127,43582,57867
14,2008,2008_14,Helensville,36988,36370,45336,59610
15,2008,2008_15,Hunua,34684,34032,42410,54671
16,2008,2008_16,Hutt South,34512,33869,42588,56623
17,2008,2008_17,Ilam,36995,36292,45418,59869
18,2008,2008_18,Invercargill,35052,34687,44411,57411
19,2008,2008_19,Kaikoura,35650,35266,43790,56593
20,2008,2008_20,Mana,34636,34056,42440,56603
21,2008,2008_21,Mangere,25074,24141,36630,54673
22,2008,2008_22,Manukau East,27199,26109,39631,58586
23,2008,2008_23,Manurewa,26181,25037,36790,54662
24,2008,2008_24,Maungakiekie,35081,34009,44986,59098
25,2008,2008_25,Mt Albert,34963,33997,44436,58944
26,2008,2008_26,Mt Roskill,34085,33359,44665,58833
27,2008,2008_27,Napier,35486,35007,43605,55990
28,2008,2008_28,Nelson,36220,35832,44698,56088
29,2008,2008_29,New Lynn,35179,34422,44513,58652
30,2008,2008_30,New Plymouth,34699,34325,44540,54995
31,2008,2008_31,North Shore,39162,38519,47430,59346
32,2008,2008_32,Northcote,35362,34786,44719,58128
33,2008,2008_33,Northland,34240,33633,43178,59434
34,2008,2008_34,Ohariu,38188,37724,45610,57419
35,2008,2008_35,Otaki,39162,38802,46409,57456
36,2008,2008_36,Pakuranga,35342,34800,44887,57283
37,2008,2008_37,Palmerston North,34682,34125,43205,58124
38,2008,2008_38,Papakura,32383,31526,41681,56289
39,2008,2008_39,Port Hills,36663,36029,44392,55568
40,2008,2008_40,Rangitata,37968,37605,47194,60388
41,2008,2008_41,Rangitikei,33768,33181,41430,56081
42,2008,2008_42,Rimutaka,35549,34976,43425,56757
43,2008,2008_43,Rodney,38042,37571,45691,58005
44,2008,2008_44,Rongotai,38097,37396,45913,57950
45,2008,2008_45,Rotorua,33438,32833,42315,58827
46,2008,2008_46,Selwyn,36679,36097,43803,54760
47,2008,2008_47,Tamaki,38532,37818,47330,58315
48,2008,2008_48,Taranaki-King Country,32302,31794,40591,55389
49,2008,2008_49,Taupo,35472,34903,44837,59656
50,2008,2008_50,Tauranga,37594,37055,46126,57432
51,2008,2008_51,Te Atatu,31738,30797,41670,56922
52,2008,2008_52,Tukituki,35639,35157,43957,57928
53,2008,2008_53,Waikato,32259,31720,40296,54640
54,2008,2008_54,Waimakariri,37501,37107,45655,57504
55,2008,2008_55,Wairarapa,36704,36308,45334,57949
56,2008,2008_56,Waitakere,31423,30522,40370,54887
57,2008,2008_57,Waitaki,39763,39327,48051,60135
58,2008,2008_58,Wellington Central,41200,40411,48989,58799
59,2008,2008_59,West Coast-Tasman,34460,34065,42743,56309
60,2008,2008_60,Whanganui,34272,33875,43737,58213
61,2008,2008_61,Whangarei,36476,35935,45335,58499
62,2008,2008_62,Wigram,35102,34425,45146,60047
63,2008,2008_63,Hauraki-Waikato,18684,17810,31948,58394
64,2008,2008_64,Ikaroa-Rawhiti,19805,19279,32820,59248
65,2008,2008_65,Tamaki Makaurau,20279,19514,35606,60380
66,2008,2008_66,Te Tai Hauauru,19751,18995,32522,61033
67,2008,2008_67,Te Tai Tokerau,20163,19400,33060,60535
68,2008,2008_68,Te Tai Tonga,19833,19049,31771,59108
69,2008,2008_69,Waiariki,19539,18750,31939,58052
