,year,electorate_id,electorate_name,party,votes,percentage
0,2008,2008_00,Auckland Central,ACT,1456.0,0.04135423767325608
1,2008,2008_00,Auckland Central,ALL,11.0,0.0003124289934105885
2,2008,2008_00,Auckland Central,GRN,5446.0,0.1546807543740059
3,2008,2008_00,Auckland Central,JPP,226.0,0.006418995682799364
4,2008,2008_00,Auckland Central,LAB,12166.0,0.34554646671211087
5,2008,2008_00,Auckland Central,MIN,489.0,0.013888888888888888
6,2008,2008_00,Auckland Central,NAT,14112.0,0.40081799591002043
7,2008,2008_00,Auckland Central,NZF,806.0,0.02289252442626676
8,2008,2008_00,Auckland Central,TPM,328.0,0.009316064530788457
9,2008,2008_00,Auckland Central,UNF,168.0,0.004771642808452625
10,2008,2008_01,Bay of Plenty,ACT,1067.0,0.029094181163767247
11,2008,2008_01,Bay of Plenty,ALL,21.0,0.0005726127501772373
12,2008,2008_01,Bay of Plenty,GRN,1787.0,0.048726618312701094
13,2008,2008_01,Bay of Plenty,JPP,175.0,0.004771772918143644
14,2008,2008_01,Bay of Plenty,LAB,7404.0,0.2018868953482031
15,2008,2008_01,Bay of Plenty,MIN,1148.0,0.0313028303430223
16,2008,2008_01,Bay of Plenty,NAT,21526.0,0.5869553362054861
17,2008,2008_01,Bay of Plenty,NZF,3030.0,0.08261983966842995
18,2008,2008_01,Bay of Plenty,TPM,258.0,0.007034956645034629
19,2008,2008_01,Bay of Plenty,UNF,258.0,0.007034956645034629
20,2008,2008_02,Botany,ACT,1528.0,0.04835137016644516
21,2008,2008_02,Botany,ALL,8.0,0.00025314853490285424
22,2008,2008_02,Botany,GRN,756.0,0.023922536548319728
23,2008,2008_02,Botany,JPP,217.0,0.006866654009239921
24,2008,2008_02,Botany,LAB,7958.0,0.25181950509461426
25,2008,2008_02,Botany,MIN,784.0,0.024808556420479716
26,2008,2008_02,Botany,NAT,19355.0,0.612461236630593
27,2008,2008_02,Botany,NZF,678.0,0.0214543383330169
28,2008,2008_02,Botany,TPM,98.0,0.0031010695525599645
29,2008,2008_02,Botany,UNF,220.0,0.006961584709828492
30,2008,2008_03,Christchurch Central,ACT,897.0,0.027162886473064227
31,2008,2008_03,Christchurch Central,ALL,41.0,0.001241558913484541
32,2008,2008_03,Christchurch Central,GRN,3688.0,0.11167973836417043
33,2008,2008_03,Christchurch Central,JPP,697.0,0.0211065015292372
34,2008,2008_03,Christchurch Central,LAB,12999.0,0.3936347394240378
35,2008,2008_03,Christchurch Central,MIN,787.0,0.023831874753959363
36,2008,2008_03,Christchurch Central,NAT,12409.0,0.3757684038397481
37,2008,2008_03,Christchurch Central,NZF,1036.0,0.03137207400902401
38,2008,2008_03,Christchurch Central,TPM,230.0,0.006964842685401084
39,2008,2008_03,Christchurch Central,UNF,239.0,0.007237380007873301
40,2008,2008_04,Christchurch East,ACT,664.0,0.01928718738199669
41,2008,2008_04,Christchurch East,ALL,62.0,0.001800912074824992
42,2008,2008_04,Christchurch East,GRN,2489.0,0.0722979057135388
43,2008,2008_04,Christchurch East,JPP,696.0,0.020216690388357973
44,2008,2008_04,Christchurch East,LAB,15585.0,0.4526970110668952
45,2008,2008_04,Christchurch East,MIN,788.0,0.022889011531646672
46,2008,2008_04,Christchurch East,NAT,12289.0,0.3569582014116827
47,2008,2008_04,Christchurch East,NZF,1352.0,0.039271502018764344
48,2008,2008_04,Christchurch East,TPM,176.0,0.0051122665349870745
49,2008,2008_04,Christchurch East,UNF,326.0,0.009469311877305603
50,2008,2008_05,Clutha-Southland,ACT,1315.0,0.038906476522974055
51,2008,2008_05,Clutha-Southland,ALL,63.0,0.0018639604722033196
52,2008,2008_05,Clutha-Southland,GRN,1726.0,0.051066599603538564
53,2008,2008_05,Clutha-Southland,JPP,226.0,0.006686588360602385
54,2008,2008_05,Clutha-Southland,LAB,8091.0,0.23938578064439775
55,2008,2008_05,Clutha-Southland,MIN,780.0,0.023077605846326815
56,2008,2008_05,Clutha-Southland,NAT,20235.0,0.5986863516672091
57,2008,2008_05,Clutha-Southland,NZF,968.0,0.028639900588774816
58,2008,2008_05,Clutha-Southland,TPM,141.0,0.004171721056836001
59,2008,2008_05,Clutha-Southland,UNF,254.0,0.0075150152371371935
60,2008,2008_06,Coromandel,ACT,1605.0,0.04396778435239974
61,2008,2008_06,Coromandel,ALL,29.0,0.000794433486741179
