,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2011,2008_00,Auckland Central,34206,33129,45649,57872
1,2011,2008_01,Bay of Plenty,36177,35134,47356,56358
2,2011,2008_02,Botany,29034,27770,44105,54408
3,2011,2008_03,Christchurch Central,28024,27089,39419,58309
4,2011,2008_04,Christchurch East,28749,28015,39708,55804
5,2011,2008_05,Clutha-Southland,31831,31056,43395,58166
6,2011,2008_06,Coromandel,34564,33736,45697,56524
7,2011,2008_07,Dunedin North,29965,29323,40356,56830
8,2011,2008_08,Dunedin South,35251,34451,45818,57012
9,2011,2008_09,East Coast,29743,29008,40975,55045
10,2011,2008_10,East Coast Bays,33535,32460,47305,57391
11,2011,2008_11,Epsom,36769,35911,48761,59103
12,2011,2008_12,Hamilton East,33249,32402,45420,55839
13,2011,2008_13,Hamilton West,32049,31143,44793,57867
14,2011,2008_14,Helensville,35809,34971,47879,59610
15,2011,2008_15,Hunua,35411,34398,47215,54671
16,2011,2008_16,Hutt South,32914,32053,43215,56623
17,2011,2008_17,Ilam,34169,33226,45258,59869
18,2011,2008_18,Invercargill,32355,31650,45014,57411
19,2011,2008_19,Kaikōura,34128,33132,44958,56593
20,2011,2008_20,Mana,34425,33582,44393,56603
21,2011,2008_21,Māngere,25007,23949,39534,54673
22,2011,2008_22,Manukau East,26960,25156,41901,58586
23,2011,2008_23,Manurewa,25277,23646,39461,54662
24,2011,2008_24,Maungakiekie,33831,32459,46637,59098
25,2011,2008_25,Mt Albert,32999,31622,45208,58944
26,2011,2008_26,Mt Roskill,32330,31333,46332,58833
27,2011,2008_27,Napier,33907,33268,44266,55990
28,2011,2008_28,Nelson,35267,34553,46817,56088
29,2011,2008_29,New Lynn,33685,32600,46139,58652
30,2011,2008_30,New Plymouth,33932,33095,45354,54995
31,2011,2008_31,North Shore,37181,36370,48963,59346
32,2011,2008_32,Northcote,33030,32344,45675,58128
33,2011,2008_33,Northland,32665,31604,44182,59434
34,2011,2008_34,Ōhariu,37828,37215,46740,57419
35,2011,2008_35,Ōtaki,37633,37138,47483,57456
36,2011,2008_36,Pakuranga,32595,31422,45912,57283
37,2011,2008_37,Palmerston North,33038,32201,43524,58124
38,2011,2008_38,Papakura,31621,30370,44164,56289
39,2011,2008_39,Port Hills,33282,32505,43511,55568
40,2011,2008_40,Rangitata,35931,35110,48024,60388
41,2011,2008_41,Rangitīkei,31731,31058,41343,56081
42,2011,2008_42,Rimutaka,34333,33287,44403,56757
43,2011,2008_43,Rodney,38563,37828,49407,58005
44,2011,2008_44,Rongotai,36879,35984,46153,57950
45,2011,2008_45,Rotorua,31517,30598,42886,58827
46,2011,2008_46,Selwyn,36851,36103,46937,54760
47,2011,2008_47,Tāmaki,37782,36703,49080,58315
48,2011,2008_48,Taranaki-King Country,31038,29925,41533,55389
49,2011,2008_49,Taupō,33747,32889,45800,59656
50,2011,2008_50,Tauranga,36620,35786,48133,57432
51,2011,2008_51,Te Atatū,30835,29462,43746,56922
52,2011,2008_52,Tukituki,34098,33171,44708,57928
53,2011,2008_53,Waikato,31467,30533,42084,54640
54,2011,2008_54,Waimakariri,36016,35502,47387,57504
55,2011,2008_55,Wairarapa,35021,33963,46425,57949
56,2011,2008_56,Waitakere,31122,30095,43143,54887
57,2011,2008_57,Waitaki,38541,37786,49580,60135
58,2011,2008_58,Wellington Central,39372,38326,48316,58799
59,2011,2008_59,West Coast-Tasman,33766,33156,44556,56309
60,2011,2008_60,Whanganui,31858,31183,43673,58213
61,2011,2008_61,Whangarei,34512,33879,46511,58499
62,2011,2008_62,Wigram,32230,31210,45427,60047
63,2011,2008_63,Hauraki-Waikato,17893,16704,33215,58394
64,2011,2008_64,Ikaroa-Rāwhiti,18262,17391,32951,59248
65,2011,2008_65,Tāmaki Makaurau,18648,17622,35347,60380
66,2011,2008_66,Te Tai Hauāuru,18188,17461,32617,61033
67,2011,2008_67,Te Tai Tokerau,19782,18750,33797,60535
68,2011,2008_68,Te Tai Tonga,17629,16706,31933,59108
69,2011,2008_69,Waiariki,18807,17774,33240,58052
