,year,electorate_id,electorate_name,party,votes,percentage
0,2011,2008_00,Auckland Central,ACT,404.0,0.011810793428053558
1,2011,2008_00,Auckland Central,ALL,10.0,0.00029234637198152373
2,2011,2008_00,Auckland Central,CON,280.0,0.008185698415482664
3,2011,2008_00,Auckland Central,GRN,7797.0,0.22794246623399403
4,2011,2008_00,Auckland Central,LAB,8590.0,0.25112553353212885
5,2011,2008_00,Auckland Central,MIN,401.0,0.0117230895164591
6,2011,2008_00,Auckland Central,MNA,237.0,0.0069286090159621115
7,2011,2008_00,Auckland Central,NAT,14447.0,0.4223528036017073
8,2011,2008_00,Auckland Central,NZF,1403.0,0.04101619598900778
9,2011,2008_00,Auckland Central,TPM,562.0,0.016429866105361634
10,2011,2008_00,Auckland Central,UNF,75.0,0.0021925977898614277
11,2011,2008_01,Bay of Plenty,ACT,418.0,0.011554302457362413
12,2011,2008_01,Bay of Plenty,ALL,9.0,0.0002487768471680902
13,2011,2008_01,Bay of Plenty,CON,1485.0,0.04104817978273489
14,2011,2008_01,Bay of Plenty,GRN,3142.0,0.08685076153357105
15,2011,2008_01,Bay of Plenty,LAB,4965.0,0.1372418940210631
16,2011,2008_01,Bay of Plenty,MIN,225.0,0.006219421179202256
17,2011,2008_01,Bay of Plenty,MNA,91.0,0.0025154103435884676
18,2011,2008_01,Bay of Plenty,NAT,20853.0,0.5764159548884651
19,2011,2008_01,Bay of Plenty,NZF,4569.0,0.12629571274566714
20,2011,2008_01,Bay of Plenty,TPM,213.0,0.005887718716311469
21,2011,2008_01,Bay of Plenty,UNF,207.0,0.0057218674848660755
22,2011,2008_02,Botany,ACT,478.0,0.016463456637046223
23,2011,2008_02,Botany,ALL,9.0,0.00030998140111593303
24,2011,2008_02,Botany,CON,777.0,0.026761727629675554
25,2011,2008_02,Botany,GRN,1277.0,0.04398291658056072
26,2011,2008_02,Botany,LAB,7111.0,0.24491974925948887
27,2011,2008_02,Botany,MIN,105.0,0.0036164496796858856
28,2011,2008_02,Botany,MNA,72.0,0.0024798512089274642
29,2011,2008_02,Botany,NAT,17749.0,0.6113177653785218
30,2011,2008_02,Botany,NZF,1278.0,0.04401735895846249
31,2011,2008_02,Botany,TPM,84.0,0.002893159743748708
32,2011,2008_02,Botany,UNF,94.0,0.003237583522766412
33,2011,2008_03,Christchurch Central,ACT,219.0,0.007814730231230374
34,2011,2008_03,Christchurch Central,ALL,24.0,0.0008564087924636027
35,2011,2008_03,Christchurch Central,CON,487.0,0.017377961747073938
36,2011,2008_03,Christchurch Central,GRN,4556.0,0.16257493576934057
37,2011,2008_03,Christchurch Central,LAB,8240.0,0.2940336854125036
38,2011,2008_03,Christchurch Central,MIN,211.0,0.007529260633742507
39,2011,2008_03,Christchurch Central,MNA,100.0,0.0035683699685983444
40,2011,2008_03,Christchurch Central,NAT,12506.0,0.44626034827290895
41,2011,2008_03,Christchurch Central,NZF,1391.0,0.049636026263202966
42,2011,2008_03,Christchurch Central,TPM,139.0,0.004960034256351699
43,2011,2008_03,Christchurch Central,UNF,151.0,0.0053882386525834994
44,2011,2008_04,Christchurch East,ACT,101.0,0.0035131656753278374
45,2011,2008_04,Christchurch East,ALL,28.0,0.0009739469198928658
