,year,electorate_id,electorate_name,party,votes,percentage
0,2002,2002_00,Aoraki,ACT,1377.0,0.043982368723648906
1,2002,2002_00,Aoraki,ALL,337.0,0.010764021975214004
2,2002,2002_00,Aoraki,CHR,387.0,0.012361057876581066
3,2002,2002_00,Aoraki,GRN,1613.0,0.05152037817810144
4,2002,2002_00,Aoraki,JPP,643.0,0.020537881691580426
5,2002,2002_00,Aoraki,LAB,13950.0,0.4455730164814105
6,2002,2002_00,Aoraki,MIN,803.0,0.025648396575955027
7,2002,2002_00,Aoraki,MNA,11.0,0.0003513478983007538
8,2002,2002_00,Aoraki,NAT,7550.0,0.24115242110642648
9,2002,2002_00,Aoraki,NZF,2758.0,0.08809250031940719
10,2002,2002_00,Aoraki,UNF,1879.0,0.060016609173374216
11,2002,2002_01,Auckland Central,ACT,3358.0,0.10632302187885888
12,2002,2002_01,Auckland Central,ALL,513.0,0.016242915492511795
13,2002,2002_01,Auckland Central,CHR,163.0,0.005161004337776652
14,2002,2002_01,Auckland Central,GRN,4990.0,0.1579963904632239
15,2002,2002_01,Auckland Central,JPP,468.0,0.014818098344045847
16,2002,2002_01,Auckland Central,LAB,13929.0,0.4410284013551594
17,2002,2002_01,Auckland Central,MIN,319.0,0.010100370452458601
18,2002,2002_01,Auckland Central,MNA,20.0,0.0006332520659848653
19,2002,2002_01,Auckland Central,NAT,4748.0,0.15033404046480703
20,2002,2002_01,Auckland Central,NZF,1809.0,0.05727764936833107
21,2002,2002_01,Auckland Central,UNF,1266.0,0.040084855776841975
22,2002,2002_02,Banks Peninsula,ACT,2744.0,0.07507318541216383
23,2002,2002_02,Banks Peninsula,ALL,469.0,0.012831386282181062
24,2002,2002_02,Banks Peninsula,CHR,378.0,0.010341714316981752
25,2002,2002_02,Banks Peninsula,GRN,3739.0,0.1022954228338486
26,2002,2002_02,Banks Peninsula,JPP,952.0,0.026045799020546632
27,2002,2002_02,Banks Peninsula,LAB,14704.0,0.4022872151240732
28,2002,2002_02,Banks Peninsula,MIN,611.0,0.01671636890919537
29,2002,2002_02,Banks Peninsula,MNA,5.0,0.00013679516292303904
30,2002,2002_02,Banks Peninsula,NAT,7892.0,0.21591748515772483
31,2002,2002_02,Banks Peninsula,NZF,2340.0,0.06402013624798226
32,2002,2002_02,Banks Peninsula,UNF,2717.0,0.07433449153237942
33,2002,2002_03,Bay of Plenty,ACT,1458.0,0.04762993695076933
34,2002,2002_03,Bay of Plenty,ALL,162.0,0.005292215216752148
35,2002,2002_03,Bay of Plenty,CHR,350.0,0.01143379830779785
36,2002,2002_03,Bay of Plenty,GRN,1691.0,0.055241579824246184
37,2002,2002_03,Bay of Plenty,JPP,239.0,0.007807650844467675
38,2002,2002_03,Bay of Plenty,LAB,9457.0,0.3089412302766979
39,2002,2002_03,Bay of Plenty,MIN,709.0,0.02316160857208193
40,2002,2002_03,Bay of Plenty,MNA,13.0,0.0004246839371467773
41,2002,2002_03,Bay of Plenty,NAT,7130.0,0.23292280552742478
42,2002,2002_03,Bay of Plenty,NZF,6896.0,0.2252784946587828
43,2002,2002_03,Bay of Plenty,UNF,2506.0,0.08186599588383262
44,2002,2002_04,Christchurch Central,ACT,1845.0,0.05888360514473558
45,2002,2002_04,Christchurch Central,ALL,598.0,0.0190853094181853
46,2002,2002_04,Christchurch Central,CHR,430.0,0.01372355025053458
47,2002,2002_04,Christchurch Central,GRN,3479.0,0.11103309609676698
48,2002,2002_04,Christchurch Central,JPP,930.0,0.029681166820923626
49,2002,2002_04,Christchurch Central,LAB,13853.0,0.4421217246991989
50,2002,2002_04,Christchurch Central,MIN,626.0,0.019978935946127086
51,2002,2002_04,Christchurch Central,MNA,10.0,0.00031915233140778095
52,2002,2002_04,Christchurch Central,NAT,5338.0,0.17036351450547346
53,2002,2002_04,Christchurch Central,NZF,2106.0,0.06721348099447866
54,2002,2002_04,Christchurch Central,UNF,2118.0,0.06759646379216801
55,2002,2002_05,Christchurch East,ACT,1212.0,0.038510421962379256
56,2002,2002_05,Christchurch East,ALL,466.0,0.014806812404677173
57,2002,2002_05,Christchurch East,CHR,441.0,0.014012455516014235
58,2002,2002_05,Christchurch East,GRN,2068.0,0.06570920183019827
59,2002,2002_05,Christchurch East,JPP,1171.0,0.03720767666497204
60,2002,2002_05,Christchurch East,LAB,16142.0,0.5129003558718861
61,2002,2002_05,Christchurch East,MIN,670.0,0.02128876461616675
62,2002,2002_05,Christchurch East,MNA,8.0,0.0002541942043721403
63,2002,2002_05,Christchurch East,NAT,4368.0,0.1387900355871886
64,2002,2002_05,Christchurch East,NZF,2532.0,0.0804524656837824
65,2002,2002_05,Christchurch East,UNF,2394.0,0.076067615658363
66,2002,2002_06,Clevedon,ACT,3578.0,0.11389463632022918
67,2002,2002_06,Clevedon,ALL,218.0,0.0069393601782587935
68,2002,2002_06,Clevedon,CHR,426.0,0.013560401082285532
69,2002,2002_06,Clevedon,GRN,1229.0,0.03912143880311953
70,2002,2002_06,Clevedon,JPP,320.0,0.010186216775425753
71,2002,2002_06,Clevedon,LAB,10739.0,0.3418430685978036
72,2002,2002_06,Clevedon,MIN,492.0,0.015661308292217093
73,2002,2002_06,Clevedon,MNA,13.0,0.0004138150565016712
74,2002,2002_06,Clevedon,NAT,7764.0,0.24714308451376732
75,2002,2002_06,Clevedon,NZF,4355.0,0.13862804392805986
76,2002,2002_06,Clevedon,UNF,2281.0,0.0726086264523317
77,2002,2002_07,Clutha-Southland,ACT,1491.0,0.051068639539662966
78,2002,2002_07,Clutha-Southland,ALL,224.0,0.007672283874503356
79,2002,2002_07,Clutha-Southland,CHR,335.0,0.011474174544458145
80,2002,2002_07,Clutha-Southland,GRN,1006.0,0.034456774900671325
81,2002,2002_07,Clutha-Southland,JPP,299.0,0.010241128921770105
82,2002,2002_07,Clutha-Southland,LAB,9290.0,0.31819427318810795
83,2002,2002_07,Clutha-Southland,MIN,763.0,0.026133716947527058
84,2002,2002_07,Clutha-Southland,MNA,2.0,6.850253459377997e-05
85,2002,2002_07,Clutha-Southland,NAT,11881.0,0.4069393067543499
86,2002,2002_07,Clutha-Southland,NZF,1977.0,0.0677147554459515
87,2002,2002_07,Clutha-Southland,UNF,1928.0,0.06603644334840389
88,2002,2002_08,Coromandel,ACT,2137.0,0.0624050928629833
89,2002,2002_08,Coromandel,ALL,175.0,0.005110384300899428
90,2002,2002_08,Coromandel,CHR,306.0,0.008935871977572713
91,2002,2002_08,Coromandel,GRN,3232.0,0.09438149748861115
92,2002,2002_08,Coromandel,JPP,398.0,0.011622474010045555
93,2002,2002_08,Coromandel,LAB,11778.0,0.34394346454853403
94,2002,2002_08,Coromandel,MIN,646.0,0.01886461861932017
95,2002,2002_08,Coromandel,MNA,10.0,0.00029202196005139586
96,2002,2002_08,Coromandel,NAT,7663.0,0.22377642798738465
97,2002,2002_08,Coromandel,NZF,5740.0,0.16762060506950122
98,2002,2002_08,Coromandel,UNF,2159.0,0.06304754117509637
99,2002,2002_09,Dunedin North,ACT,1254.0,0.04193418940609952
100,2002,2002_09,Dunedin North,ALL,924.0,0.03089887640449438
101,2002,2002_09,Dunedin North,CHR,248.0,0.008293204922418406
102,2002,2002_09,Dunedin North,GRN,3697.0,0.12362894596040663
103,2002,2002_09,Dunedin North,JPP,588.0,0.019662921348314606
104,2002,2002_09,Dunedin North,LAB,14866.0,0.49712413055109683
105,2002,2002_09,Dunedin North,MIN,486.0,0.016252006420545747
106,2002,2002_09,Dunedin North,MNA,9.0,0.00030096308186195825
107,2002,2002_09,Dunedin North,NAT,4841.0,0.16188469769930444
108,2002,2002_09,Dunedin North,NZF,1333.0,0.04457597645799893
109,2002,2002_09,Dunedin North,UNF,1658.0,0.055444087747458536
110,2002,2002_10,Dunedin South,ACT,1144.0,0.03491530596673279
111,2002,2002_10,Dunedin South,ALL,564.0,0.017213490004578055
112,2002,2002_10,Dunedin South,CHR,356.0,0.010865252556081183
113,2002,2002_10,Dunedin South,GRN,2036.0,0.06213947810163284
114,2002,2002_10,Dunedin South,JPP,765.0,0.023348084846635128
115,2002,2002_10,Dunedin South,LAB,18311.0,0.5588585380741645
116,2002,2002_10,Dunedin South,MIN,638.0,0.019471997558370212
117,2002,2002_10,Dunedin South,MNA,8.0,0.0002441629787883412
118,2002,2002_10,Dunedin South,NAT,5004.0,0.15272394323210745
119,2002,2002_10,Dunedin South,NZF,2016.0,0.06152907065466199
120,2002,2002_10,Dunedin South,UNF,1923.0,0.05869067602624752
