,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2002,2002_00,Aoraki,31308,30973,39535,52177
1,2002,2002_01,Auckland Central,31583,30692,40331,53547
2,2002,2002_02,Banks Peninsula,36551,36106,44612,56914
3,2002,2002_03,Bay of Plenty,30611,30212,38972,51893
4,2002,2002_04,Christchurch Central,31333,30578,42753,56894
5,2002,2002_05,Christchurch East,31472,30951,40937,56310
6,2002,2002_06,Clevedon,31415,30846,41225,56169
7,2002,2002_07,Clutha-Southland,29196,29035,37654,51902
8,2002,2002_08,Coromandel,34244,33758,41608,53687
9,2002,2002_09,Dunedin North,29904,29532,38054,51756
10,2002,2002_10,Dunedin South,32765,32219,41122,53113
11,2002,2002_11,East Coast,28735,28118,37573,53637
12,2002,2002_12,East Coast Bays,31714,31038,41368,56749
13,2002,2002_13,Epsom,32481,31774,41519,54525
14,2002,2002_14,Hamilton East,31803,31317,40939,55263
15,2002,2002_15,Hamilton West,30552,30115,41079,56672
16,2002,2002_16,Helensville,29157,28602,36949,52281
17,2002,2002_17,Hutt South,30807,30221,38839,52910
18,2002,2002_18,Ilam,34330,33624,43397,56906
19,2002,2002_19,Invercargill,30152,29829,38876,51673
20,2002,2002_20,Kaikoura,32194,31841,40124,52855
21,2002,2002_21,Mana,29454,28881,36903,53671
22,2002,2002_22,Mangere,24804,24111,36240,56830
23,2002,2002_23,Manukau East,27117,26295,39257,56426
24,2002,2002_24,Manurewa,26085,25420,36642,56815
25,2002,2002_25,Maungakiekie,26651,25886,36911,51913
26,2002,2002_26,Mt Albert,28837,28044,38305,51941
27,2002,2002_27,Mt Roskill,29895,29042,39263,54064
28,2002,2002_28,Napier,32551,31701,41119,55382
29,2002,2002_29,Nelson,33721,33382,42628,56025
30,2002,2002_30,New Lynn,29135,28368,37568,52141
31,2002,2002_31,New Plymouth,30315,29968,39633,52194
32,2002,2002_32,North Shore,34664,34264,43484,56032
33,2002,2002_33,Northcote,31047,30530,40492,54675
34,2002,2002_34,Northland,28516,28139,36770,54115
35,2002,2002_35,Ohariu-Belmont,33771,33397,41222,54232
36,2002,2002_36,Otago,31954,31374,40048,52491
37,2002,2002_37,Otaki,35544,35058,43506,56725
38,2002,2002_38,Pakuranga,32469,31888,41889,56269
39,2002,2002_39,Palmerston North,30673,30204,39671,52859
40,2002,2002_40,Piako,30231,29881,40303,56643
41,2002,2002_41,Port Waikato,30898,30538,39460,56578
42,2002,2002_42,Rakaia,32179,31609,40633,54711
43,2002,2002_43,Rangitikei,29863,29463,37783,51920
44,2002,2002_44,Rimutaka,31933,31457,40329,55998
45,2002,2002_45,Rodney,32476,32155,39974,52885
46,2002,2002_46,Rongotai,32885,32229,41394,53113
47,2002,2002_47,Rotorua,28436,27977,37401,53647
48,2002,2002_48,Tamaki,33126,32491,42429,56282
49,2002,2002_49,Taranaki-King Country,27933,27344,37503,53788
50,2002,2002_50,Taupo,27210,26701,36350,52274
51,2002,2002_51,Tauranga,32989,32550,41214,53449
52,2002,2002_52,Te Atatu,27319,26736,36695,52774
53,2002,2002_53,Tukituki,31896,31380,40851,56977
54,2002,2002_54,Waimakariri,33885,33580,42318,55964
55,2002,2002_55,Wairarapa,30925,30661,38429,52261
56,2002,2002_56,Waitakere,27468,26927,35685,51630
57,2002,2002_57,Wellington Central,37048,36304,46258,54289
58,2002,2002_58,West Coast-Tasman,30047,29762,38270,51719
59,2002,2002_59,Whanganui,30914,30486,40363,56031
60,2002,2002_60,Whangarei,32207,31976,40573,54133
61,2002,2002_61,Wigram,31969,31407,42684,56879
62,2002,2002_62,Ikaroa-Rawhiti,14772,14338,26781,51262
63,2002,2002_63,Tainui,14996,14504,27292,54358
64,2002,2002_64,Tamaki Makaurau,16173,15604,30781,54692
65,2002,2002_65,Te Tai Hauauru,14467,14017,25566,51103
66,2002,2002_66,Te Tai Tokerau,16190,15610,28231,54466
67,2002,2002_67,Te Tai Tonga,15949,15450,27193,52204
68,2002,2002_68,Waiariki,15723,15116,28270,53680
