,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2017,2014_00,Auckland Central,30007,29170,38068,57593
1,2017,2014_01,Bay of Plenty,42410,41526,51429,57242
2,2017,2014_02,Botany,35117,34015,49093,61067
3,2017,2014_03,Christchurch Central,35727,34702,44711,61587
4,2017,2014_04,Christchurch East,34729,33871,43782,60013
5,2017,2014_05,Clutha-Southland,36983,36434,45587,62161
6,2017,2014_06,Coromandel,42530,41847,51908,58879
7,2017,2014_07,Dunedin North,37299,36790,45470,59383
8,2017,2014_08,Dunedin South,39764,39211,47757,58132
9,2017,2014_09,East Coast,38448,37510,49128,61834
10,2017,2014_10,East Coast Bays,34996,34410,46043,58399
11,2017,2014_11,Epsom,39016,38230,49480,60510
12,2017,2014_12,Hamilton East,36494,35506,46542,61981
13,2017,2014_13,Hamilton West,36822,35672,47932,59527
14,2017,2014_14,Helensville,39266,38412,47029,56769
15,2017,2014_15,Hunua,41310,40270,50617,59225
16,2017,2014_16,Hutt South,41697,41025,50211,62302
17,2017,2014_17,Ilam,36357,35574,44579,59578
18,2017,2014_18,Invercargill,35990,35462,45163,59083
19,2017,2014_19,Kaikōura,39609,39084,47771,59174
20,2017,2014_20,Kelston,31731,30611,43234,57582
21,2017,2014_21,Mana,39122,38258,47986,60755
22,2017,2014_22,Māngere,28057,26770,43719,58543
23,2017,2014_23,Manukau East,26995,25663,42383,58132
24,2017,2014_24,Manurewa,28195,26499,43390,59472
25,2017,2014_25,Maungakiekie,35505,34228,47330,62136
26,2017,2014_26,Mt Albert,38614,37865,47845,60531
27,2017,2014_27,Mt Roskill,35454,34553,47826,59201
28,2017,2014_28,Napier,38804,38130,47184,58936
29,2017,2014_29,Nelson,41651,41131,50568,60058
30,2017,2014_30,New Lynn,34702,33665,46026,58248
31,2017,2014_31,New Plymouth,40017,39382,50032,62103
32,2017,2014_32,North Shore,39788,38946,49850,62277
33,2017,2014_33,Northcote,36920,36141,48098,60818
34,2017,2014_34,Northland,40636,39796,49835,60818
35,2017,2014_35,Ōhāriu,40361,39721,47298,57550
36,2017,2014_36,Ōtaki,41488,40801,49170,57466
37,2017,2014_37,Pakuranga,35807,34916,47026,59779
38,2017,2014_38,Palmerston North,35406,34541,44062,59567
39,2017,2014_39,Papakura,37964,36431,50094,61230
40,2017,2014_40,Port Hills,42700,41940,50442,62386
41,2017,2014_41,Rangitata,37912,37330,47313,61035
42,2017,2014_42,Rangitīkei,37566,36771,45416,58720
43,2017,2014_43,Rimutaka,39530,38806,48584,62031
44,2017,2014_44,Rodney,45281,44566,53922,59857
45,2017,2014_45,Rongotai,41260,40404,48875,59753
46,2017,2014_46,Rotorua,35984,35206,45154,58397
47,2017,2014_47,Selwyn,43994,43318,50775,56891
48,2017,2014_48,Tāmaki,38319,37462,47364,57028
49,2017,2014_49,Taranaki-King Country,36971,35917,44771,57187
50,2017,2014_50,Taupō,40309,39140,49724,62552
51,2017,2014_51,Tauranga,40075,39250,49243,58202
52,2017,2014_52,Te Atatū,35029,33923,46615,60897
53,2017,2014_53,Tukituki,38962,38093,47841,60298
54,2017,2014_54,Upper Harbour,36388,35396,48782,61519
55,2017,2014_55,Waikato,40707,39497,49729,61638
56,2017,2014_56,Waimakariri,39909,39334,48108,56742
57,2017,2014_57,Wairarapa,40468,39886,49112,59167
58,2017,2014_58,Waitaki,43889,43281,51994,62488
59,2017,2014_59,Wellington Central,43094,42374,50234,60402
60,2017,2014_60,West Coast-Tasman,37724,37321,45882,59021
61,2017,2014_61,Whanganui,37563,36737,47423,61155
62,2017,2014_62,Whangarei,41202,40470,51108,60522
63,2017,2014_63,Wigram,33404,32503,42549,56895
64,2017,2014_64,Hauraki-Waikato,22814,21389,36428,62309
65,2017,2014_65,Ikaroa-Rāwhiti,23245,22262,36004,58339
66,2017,2014_66,Tāmaki Makaurau,20380,19251,35534,57766
67,2017,2014_67,Te Tai Hauāuru,22784,21751,34421,60847
68,2017,2014_68,Te Tai Tokerau,24710,23483,36911,61498
69,2017,2014_69,Te Tai Tonga,23940,22696,35980,61496
70,2017,2014_70,Waiariki,23995,23005,36515,57676
