,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2023,2020_00,Auckland Central,35378,34447,45426,62919
1,2023,2020_01,Banks Peninsula,49559,48891,59383,68134
2,2023,2020_02,Bay of Plenty,45452,44567,56200,64223
3,2023,2020_03,Botany,37668,36526,53160,65124
4,2023,2020_04,Christchurch Central,39690,38720,50999,65571
5,2023,2020_05,Christchurch East,39044,38335,50898,63850
6,2023,2020_06,Coromandel,46892,46212,56842,64568
7,2023,2020_07,Dunedin,42507,41760,52791,67167
8,2023,2020_08,East Coast,40354,39441,52692,66175
9,2023,2020_09,East Coast Bays,38943,38205,51498,64635
10,2023,2020_10,Epsom,40528,39776,51972,62147
11,2023,2020_11,Hamilton East,38210,37052,50162,67683
12,2023,2020_12,Hamilton West,38736,37582,51870,67010
13,2023,2020_13,Hutt South,43385,42786,54075,66564
14,2023,2020_14,Ilam,42767,42074,53696,67502
15,2023,2020_15,Invercargill,37405,36893,48667,64992
16,2023,2020_16,Kaikōura,41939,41511,51277,64383
17,2023,2020_17,Kaipara ki Mahurangi,49654,48635,59899,65280
18,2023,2020_18,Kelston,33422,32437,47767,62689
19,2023,2020_19,Mana,41918,41145,53033,65980
20,2023,2020_20,Māngere,29386,28223,47671,65515
21,2023,2020_21,Manurewa,29944,28004,47302,66763
22,2023,2020_22,Maungakiekie,35892,35021,47642,62072
23,2023,2020_23,Mt Albert,39645,38816,49787,60531
24,2023,2020_24,Mt Roskill,36474,35312,51903,66303
25,2023,2020_25,Napier,40659,39971,50496,63257
26,2023,2020_26,Nelson,42706,42024,53054,64019
27,2023,2020_27,New Lynn,40968,39800,53284,67217
28,2023,2020_28,New Plymouth,43172,42484,54233,66810
29,2023,2020_29,North Shore,41340,40407,52327,65331
30,2023,2020_30,Northcote,38871,37881,51123,65249
31,2023,2020_31,Northland,46327,45348,57049,67803
32,2023,2020_32,Ōhāriu,42897,42354,51803,62261
33,2023,2020_33,Ōtaki,44279,43445,54084,63263
34,2023,2020_34,Pakuranga,36783,36021,48582,62498
35,2023,2020_35,Palmerston North,35877,35012,46413,62127
36,2023,2020_36,Panmure-Ōtāhuhu,30405,28918,49468,67234
37,2023,2020_37,Papakura,42431,41055,53610,61820
38,2023,2020_38,Port Waikato,42399,0,52482,59225
39,2023,2020_39,Rangitata,40461,40008,50729,67816
40,2023,2020_40,Rangitīkei,41273,40339,50380,63668
41,2023,2020_41,Remutaka,41736,41192,53179,67028
42,2023,2020_42,Rongotai,42615,42005,52533,62897
43,2023,2020_43,Rotorua,36817,35824,47615,63585
44,2023,2020_44,Selwyn,48505,47576,56957,62209
45,2023,2020_45,Southland,39688,39005,48743,65088
46,2023,2020_46,Taieri,42259,41590,52599,65309
47,2023,2020_47,Takanini,39743,37870,56881,66306
48,2023,2020_48,Tāmaki,41683,40915,51802,61742
49,2023,2020_49,Taranaki-King Country,40836,39501,49825,63450
50,2023,2020_50,Taupō,43858,42984,54556,68078
51,2023,2020_51,Tauranga,41952,40941,52429,66787
52,2023,2020_52,Te Atatū,37133,36038,51611,67421
53,2023,2020_53,Tukituki,41325,40575,51739,66560
54,2023,2020_54,Upper Harbour,41177,40181,55817,66240
55,2023,2020_55,Waikato,43146,41897,52527,64265
56,2023,2020_56,Waimakariri,46721,46033,57134,65942
57,2023,2020_57,Wairarapa,44674,44050,54434,64402
58,2023,2020_58,Waitaki,44393,43781,53304,64983
59,2023,2020_59,Wellington Central,45863,45169,54746,64272
60,2023,2020_60,West Coast-Tasman,41973,41594,51878,63677
61,2023,2020_61,Whanganui,39366,38729,50286,64175
62,2023,2020_62,Whangaparāoa,47155,46258,57157,65847
63,2023,2020_63,Whangārei,43348,42730,54371,67131
64,2023,2020_64,Wigram,37868,36982,50140,66396
65,2023,2020_65,Hauraki-Waikato,25755,24187,39650,67522
66,2023,2020_66,Ikaroa-Rāwhiti,26529,25407,40285,66474
67,2023,2020_67,Tāmaki Makaurau,26665,25123,43140,66860
68,2023,2020_68,Te Tai Hauāuru,26723,25534,39851,68032
69,2023,2020_69,Te Tai Tokerau,28473,26892,42462,68173
70,2023,2020_70,Te Tai Tonga,28107,26500,41912,68874
71,2023,2020_71,Waiariki,29485,28176,43000,67111
