,year,electorate_id,electorate_name,party,votes,percentage
0,2023,2020_00,Auckland Central,ACT,3301,0.0933065747074453
1,2023,2020_00,Auckland Central,CON,30,0.0008479846232121658
2,2023,2020_00,Auckland Central,GRN,8503,0.24034710837243484
3,2023,2020_00,Auckland Central,LAB,8028,0.22692068517157554
4,2023,2020_00,Auckland Central,MIN,601,0.016987958618350386
5,2023,2020_00,Auckland Central,NAT,11751,0.3321555769122053
6,2023,2020_00,Auckland Central,NZF,1351,0.03818757419865453
7,2023,2020_00,Auckland Central,TOP,1250,0.03533269263384024
8,2023,2020_00,Auckland Central,TPM,563,0.015913844762281644
9,2023,2020_01,Banks Peninsula,ACT,3919,0.07907746322565024
10,2023,2020_01,Banks Peninsula,CON,62,0.0012510341209467503
11,2023,2020_01,Banks Peninsula,GRN,9763,0.1969975181097278
12,2023,2020_01,Banks Peninsula,LAB,13200,0.2663491999435017
13,2023,2020_01,Banks Peninsula,MIN,1329,0.026816521721584375
14,2023,2020_01,Banks Peninsula,NAT,15839,0.3195988619625093
15,2023,2020_01,Banks Peninsula,NZF,2658,0.05363304344316875
16,2023,2020_01,Banks Peninsula,TOP,2401,0.04844730523214754
17,2023,2020_01,Banks Peninsula,TPM,388,0.007829052240763534
18,2023,2020_02,Bay of Plenty,ACT,5212,0.11467042154360645
19,2023,2020_02,Bay of Plenty,CON,56,0.0012320689958637684
20,2023,2020_02,Bay of Plenty,GRN,3635,0.07997447857079996
21,2023,2020_02,Bay of Plenty,LAB,7905,0.1739197395054123
22,2023,2020_02,Bay of Plenty,MIN,1764,0.038810173369708705
23,2023,2020_02,Bay of Plenty,NAT,21452,0.47197043034409925
24,2023,2020_02,Bay of Plenty,NZF,3957,0.08705887529701663
25,2023,2020_02,Bay of Plenty,TOP,894,0.0196691014696823
26,2023,2020_02,Bay of Plenty,TPM,577,0.012694710903810613
27,2023,2020_03,Botany,ACT,2788,0.07401507911224381
28,2023,2020_03,Botany,CON,86,0.00228310502283105
29,2023,2020_03,Botany,GRN,2212,0.0587235850058405
30,2023,2020_03,Botany,LAB,7708,0.20462992460443877
31,2023,2020_03,Botany,MIN,872,0.023149623022193904
32,2023,2020_03,Botany,NAT,22239,0.5903950302644154
33,2023,2020_03,Botany,NZF,1136,0.030158224487628758
34,2023,2020_03,Botany,TOP,439,0.011654454709567804
35,2023,2020_03,Botany,TPM,188,0.00499097377083997
36,2023,2020_04,Christchurch Central,ACT,2646,0.06666666666666667
37,2023,2020_04,Christchurch Central,CON,78,0.001965230536659108
38,2023,2020_04,Christchurch Central,GRN,7746,0.19516250944822375
39,2023,2020_04,Christchurch Central,LAB,11357,0.2861426051902242
40,2023,2020_04,Christchurch Central,MIN,940,0.023683547493071302
41,2023,2020_04,Christchurch Central,NAT,12403,0.3124968505920887
42,2023,2020_04,Christchurch Central,NZF,2073,0.05222978080120937
43,2023,2020_04,Christchurch Central,TOP,2042,0.05144872763920383
44,2023,2020_04,Christchurch Central,TPM,405,0.01020408163265306
45,2023,2020_05,Christchurch East,ACT,2786,0.07135539391455793
46,2023,2020_05,Christchurch East,CON,175,0.0044821227333265035
47,2023,2020_05,Christchurch East,GRN,5675,0.14534883720930233
48,2023,2020_05,Christchurch East,LAB,13418,0.34366355906157153
49,2023,2020_05,Christchurch East,MIN,1352,0.03462759963118533
50,2023,2020_05,Christchurch East,NAT,11208,0.287060751972134
51,2023,2020_05,Christchurch East,NZF,2676,0.06853805962503842
52,2023,2020_05,Christchurch East,TOP,1339,0.03429464194242393
53,2023,2020_05,Christchurch East,TPM,415,0.010629033910459993
54,2023,2020_06,Coromandel,ACT,5588,0.11916744860530581
55,2023,2020_06,Coromandel,CON,43,0.000917000767721573
56,2023,2020_06,Coromandel,GRN,3672,0.07830760044357246
57,2023,2020_06,Coromandel,LAB,9223,0.19668600187665272
58,2023,2020_06,Coromandel,MIN,2394,0.051053484602917344
59,2023,2020_06,Coromandel,NAT,20206,0.43090505843214194
60,2023,2020_06,Coromandel,NZF,4895,0.10438880832551395
61,2023,2020_06,Coromandel,TOP,509,0.010854730017913504
62,2023,2020_06,Coromandel,TPM,362,0.007719866928260684
63,2023,2020_07,Dunedin,ACT,2460,0.057872820947138116
64,2023,2020_07,Dunedin,CON,94,0.002211400475215847
65,2023,2020_07,Dunedin,GRN,11449,0.26934387277389604
66,2023,2020_07,Dunedin,LAB,13160,0.30959606653021854
67,2023,2020_07,Dunedin,MIN,873,0.020537793775142917
68,2023,2020_07,Dunedin,NAT,9652,0.22706848283812078
69,2023,2020_07,Dunedin,NZF,2396,0.056367186581033714
70,2023,2020_07,Dunedin,TOP,1810,0.042581221916390244
71,2023,2020_07,Dunedin,TPM,613,0.014421154162843767
72,2023,2020_08,East Coast,ACT,3599,0.08918570649749714
73,2023,2020_08,East Coast,CON,56,0.0013877186895970659
74,2023,2020_08,East Coast,GRN,3015,0.07471378302027061
75,2023,2020_08,East Coast,LAB,12054,0.29870644793576845
76,2023,2020_08,East Coast,MIN,1451,0.03595678247509541
77,2023,2020_08,East Coast,NAT,14908,0.36943053972344747
78,2023,2020_08,East Coast,NZF,3896,0.09654557169053873
79,2023,2020_08,East Coast,TOP,460,0.01139911780740447
80,2023,2020_08,East Coast,TPM,915,0.02267433216038063
81,2023,2020_09,East Coast Bays,ACT,3774,0.09691086973268623
82,2023,2020_09,East Coast Bays,CON,58,0.001489356238605141
83,2023,2020_09,East Coast Bays,GRN,3462,0.08889916031122409
84,2023,2020_09,East Coast Bays,LAB,5716,0.14677862517012044
85,2023,2020_09,East Coast Bays,MIN,1110,0.028503196980201834
86,2023,2020_09,East Coast Bays,NAT,22508,0.5779729348021467
87,2023,2020_09,East Coast Bays,NZF,1532,0.03933954754384614
88,2023,2020_09,East Coast Bays,TOP,646,0.016588347071360705
89,2023,2020_09,East Coast Bays,TPM,137,0.003517962149808695
90,2023,2020_10,Epsom,ACT,5041,0.12438314251875247
91,2023,2020_10,Epsom,CON,28,0.0006908803789972364
92,2023,2020_10,Epsom,GRN,5507,0.13588136596920647
93,2023,2020_10,Epsom,LAB,5945,0.14668870904066325
94,2023,2020_10,Epsom,MIN,394,0.009721673904461114
95,2023,2020_10,Epsom,NAT,20948,0.5168772206869325
96,2023,2020_10,Epsom,NZF,1059,0.02613008290564548
97,2023,2020_10,Epsom,TOP,1307,0.032249309119621004
98,2023,2020_10,Epsom,TPM,299,0.00737761547572049
99,2023,2020_11,Hamilton East,ACT,3085,0.08073802669458258
100,2023,2020_11,Hamilton East,CON,91,0.0023815755037948183
101,2023,2020_11,Hamilton East,GRN,4718,0.12347552996597749
102,2023,2020_11,Hamilton East,LAB,9497,0.248547500654279
103,2023,2020_11,Hamilton East,MIN,927,0.024260664747448313
104,2023,2020_11,Hamilton East,NAT,16373,0.42850039256739075
105,2023,2020_11,Hamilton East,NZF,1914,0.05009159905783826
106,2023,2020_11,Hamilton East,TOP,1040,0.027218005757655064
107,2023,2020_11,Hamilton East,TPM,565,0.014786705051033761
108,2023,2020_12,Hamilton West,ACT,3398,0.08772201569599339
109,2023,2020_12,Hamilton West,CON,97,0.002504130524576621
110,2023,2020_12,Hamilton West,GRN,3863,0.09972635274679885
111,2023,2020_12,Hamilton West,LAB,10242,0.26440520446096655
112,2023,2020_12,Hamilton West,MIN,1022,0.026383725733168113
113,2023,2020_12,Hamilton West,NAT,16026,0.41372366790582404
114,2023,2020_12,Hamilton West,NZF,2410,0.06221602643535729
115,2023,2020_12,Hamilton West,TOP,967,0.024963857909954566
116,2023,2020_12,Hamilton West,TPM,711,0.018355018587360595
117,2023,2020_65,Hauraki-Waikato,ACT,294,0.011415259172976122
118,2023,2020_65,Hauraki-Waikato,CON,15,0.0005824111822947001
119,2023,2020_65,Hauraki-Waikato,GRN,1893,0.07350029120559115
120,2023,2020_65,Hauraki-Waikato,LAB,11508,0.44682585905649386
121,2023,2020_65,Hauraki-Waikato,MIN,1090,0.042321879246748205
122,2023,2020_65,Hauraki-Waikato,NAT,1292,0.050165016501650166
123,2023,2020_65,Hauraki-Waikato,NZF,974,0.037817899437002526
124,2023,2020_65,Hauraki-Waikato,TOP,186,0.007221898660454281
125,2023,2020_65,Hauraki-Waikato,TPM,8503,0.33014948553678897
126,2023,2020_13,Hutt South,ACT,2493,0.0574622565402789
127,2023,2020_13,Hutt South,CON,50,0.0011524720525527255
128,2023,2020_13,Hutt South,GRN,6727,0.15505358995044372
129,2023,2020_13,Hutt South,LAB,14087,0.3246974760862049
130,2023,2020_13,Hutt South,MIN,970,0.022357957819522878
131,2023,2020_13,Hutt South,NAT,14772,0.34048634320617727
132,2023,2020_13,Hutt South,NZF,2257,0.05202258845223003
133,2023,2020_13,Hutt South,TOP,1448,0.03337559064192693
134,2023,2020_13,Hutt South,TPM,581,0.013391725250662671
135,2023,2020_66,Ikaroa-Rāwhiti,ACT,209,0.007878171058087377
136,2023,2020_66,Ikaroa-Rāwhiti,CON,18,0.0006785027705529798
137,2023,2020_66,Ikaroa-Rāwhiti,GRN,1802,0.06792566625202609
138,2023,2020_66,Ikaroa-Rāwhiti,LAB,14775,0.5569376908289042
139,2023,2020_66,Ikaroa-Rāwhiti,MIN,974,0.036714538806589016
140,2023,2020_66,Ikaroa-Rāwhiti,NAT,964,0.03633759282294847
141,2023,2020_66,Ikaroa-Rāwhiti,NZF,927,0.03494289268347846
142,2023,2020_66,Ikaroa-Rāwhiti,TOP,138,0.0052018545742395115
143,2023,2020_66,Ikaroa-Rāwhiti,TPM,6722,0.2533830902031739
144,2023,2020_14,Ilam,ACT,3557,0.08317160427432366
145,2023,2020_14,Ilam,CON,96,0.00224472139733907
146,2023,2020_14,Ilam,GRN,6398,0.14960132812682675
147,2023,2020_14,Ilam,LAB,9402,0.21984240185189516
148,2023,2020_14,Ilam,MIN,712,0.016648350363598102
149,2023,2020_14,Ilam,NAT,18470,0.4318750438422148
150,2023,2020_14,Ilam,NZF,1729,0.040428367666658874
151,2023,2020_14,Ilam,TOP,2138,0.04999181611990553
152,2023,2020_14,Ilam,TPM,265,0.006196366357238058
153,2023,2020_15,Invercargill,ACT,3967,0.10605534019516108
154,2023,2020_15,Invercargill,CON,54,0.0014436572650715145
155,2023,2020_15,Invercargill,GRN,2332,0.06234460633605133
156,2023,2020_15,Invercargill,LAB,9589,0.2563561021253843
157,2023,2020_15,Invercargill,MIN,1898,0.050741879427883975
158,2023,2020_15,Invercargill,NAT,16027,0.428472129394466
159,2023,2020_15,Invercargill,NZF,2778,0.07426814596979013
160,2023,2020_15,Invercargill,TOP,482,0.012885977810453147
161,2023,2020_15,Invercargill,TPM,278,0.007432161475738538
162,2023,2020_16,Kaikōura,ACT,5911,0.1409427978731014
163,2023,2020_16,Kaikōura,CON,111,0.0026467011612103294
164,2023,2020_16,Kaikōura,GRN,3282,0.07825651541524595
165,2023,2020_16,Kaikōura,LAB,8714,0.2077779632323136
166,2023,2020_16,Kaikōura,MIN,1903,0.045375426214263576
167,2023,2020_16,Kaikōura,NAT,17281,0.4120508357376189
168,2023,2020_16,Kaikōura,NZF,3819,0.09106082643839862
169,2023,2020_16,Kaikōura,TOP,703,0.016762440687665418
170,2023,2020_16,Kaikōura,TPM,215,0.0051264932401821695
171,2023,2020_17,Kaipara ki Mahurangi,ACT,6011,0.12105771941837516
172,2023,2020_17,Kaipara ki Mahurangi,CON,75,0.0015104523301244612
173,2023,2020_17,Kaipara ki Mahurangi,GRN,4767,0.09600435010271076
174,2023,2020_17,Kaipara ki Mahurangi,LAB,8450,0.17017762919402263
175,2023,2020_17,Kaipara ki Mahurangi,MIN,2063,0.04154750876062351
