,year,electorate_id,electorate_name,party,votes,percentage
0,2014,2014_00,Auckland Central,ACT,329.0,0.011684483432183826
1,2014,2014_00,Auckland Central,CON,486.0,0.0172603615441986
2,2014,2014_00,Auckland Central,GRN,6242.0,0.22168554888660014
3,2014,2014_00,Auckland Central,LAB,6101.0,0.2166779131299499
4,2014,2014_00,Auckland Central,MIN,124.0,0.004403878254075363
5,2014,2014_00,Auckland Central,MNA,553.0,0.019639876407287708
6,2014,2014_00,Auckland Central,NAT,12652.0,0.4493376425045282
7,2014,2014_00,Auckland Central,NZF,1459.0,0.051816599779806086
8,2014,2014_00,Auckland Central,TPM,158.0,0.005611393259225059
9,2014,2014_00,Auckland Central,UNF,53.0,0.0018823028021451148
10,2014,2014_01,Bay of Plenty,ACT,90.0,0.002459890124907754
11,2014,2014_01,Bay of Plenty,CON,2072.0,0.056632137097876296
12,2014,2014_01,Bay of Plenty,GRN,2645.0,0.072293437559789
13,2014,2014_01,Bay of Plenty,LAB,4783.0,0.13072949408259765
14,2014,2014_01,Bay of Plenty,MIN,329.0,0.008992265012162791
15,2014,2014_01,Bay of Plenty,MNA,187.0,0.005111105037308334
16,2014,2014_01,Bay of Plenty,NAT,21096.0,0.5765982452783776
17,2014,2014_01,Bay of Plenty,NZF,5100.0,0.13939377374477274
18,2014,2014_01,Bay of Plenty,TPM,207.0,0.0056577472872878344
19,2014,2014_01,Bay of Plenty,UNF,78.0,0.0021319047749200535
20,2014,2014_02,Botany,ACT,808.0,0.024079151269519608
21,2014,2014_02,Botany,CON,1519.0,0.045267612349505305
22,2014,2014_02,Botany,GRN,1461.0,0.04353915842174276
23,2014,2014_02,Botany,LAB,7473.0,0.22270234831326738
24,2014,2014_02,Botany,MIN,130.0,0.003874120872571224
25,2014,2014_02,Botany,MNA,204.0,0.006079389676957921
26,2014,2014_02,Botany,NAT,20016.0,0.5964954106568124
27,2014,2014_02,Botany,NZF,1825.0,0.054386696864942186
28,2014,2014_02,Botany,TPM,71.0,0.0021158660150196688
29,2014,2014_02,Botany,UNF,49.0,0.0014602455596614615
30,2014,2014_03,Christchurch Central,ACT,167.0,0.004873920149427971
31,2014,2014_03,Christchurch Central,CON,1065.0,0.03108218538407658
32,2014,2014_03,Christchurch Central,GRN,5419.0,0.15815433107634835
33,2014,2014_03,Christchurch Central,LAB,8995.0,0.26252042960541677
34,2014,2014_03,Christchurch Central,MIN,266.0,0.007763250058370301
35,2014,2014_03,Christchurch Central,MNA,353.0,0.010302358160168107
36,2014,2014_03,Christchurch Central,NAT,15301.0,0.44656198925986457
37,2014,2014_03,Christchurch Central,NZF,2462.0,0.07185384076581836
38,2014,2014_03,Christchurch Central,TPM,157.0,0.0045820686434742
39,2014,2014_03,Christchurch Central,UNF,79.0,0.0023056268970347888
40,2014,2014_04,Christchurch East,ACT,107.0,0.0032934223891163163
41,2014,2014_04,Christchurch East,CON,1058.0,0.03256486810920619
42,2014,2014_04,Christchurch East,GRN,4113.0,0.12659669426575149
43,2014,2014_04,Christchurch East,LAB,10450.0,0.3216473267875281
44,2014,2014_04,Christchurch East,MIN,275.0,0.008464403336513897
45,2014,2014_04,Christchurch East,MNA,286.0,0.008802979469974452
46,2014,2014_04,Christchurch East,NAT,12928.0,0.3979192957616424
47,2014,2014_04,Christchurch East,NZF,3069.0,0.09446274123549508
48,2014,2014_04,Christchurch East,TPM,129.0,0.003970574656037428
49,2014,2014_04,Christchurch East,UNF,74.0,0.0022776939887346487
50,2014,2014_05,Clutha-Southland,ACT,122.0,0.003564229162406147
51,2014,2014_05,Clutha-Southland,CON,1726.0,0.050425078150106634
52,2014,2014_05,Clutha-Southland,GRN,2647.0,0.07733208682695959
53,2014,2014_05,Clutha-Southland,LAB,5036.0,0.1471267054252242
54,2014,2014_05,Clutha-Southland,MIN,530.0,0.015483946361272606
55,2014,2014_05,Clutha-Southland,MNA,158.0,0.004615968915247305
56,2014,2014_05,Clutha-Southland,NAT,21694.0,0.6337900610593357
57,2014,2014_05,Clutha-Southland,NZF,2135.0,0.06237401034210757
58,2014,2014_05,Clutha-Southland,TPM,113.0,0.0033012942241958574
59,2014,2014_05,Clutha-Southland,UNF,68.0,0.0019866195331444095
60,2014,2014_06,Coromandel,ACT,142.0,0.0037436397669452426
61,2014,2014_06,Coromandel,CON,2004.0,0.052832775302523005
62,2014,2014_06,Coromandel,GRN,3724.0,0.09817827107115552
63,2014,2014_06,Coromandel,LAB,5960.0,0.1571274155703778
64,2014,2014_06,Coromandel,MIN,306.0,0.008067280061163692
65,2014,2014_06,Coromandel,MNA,259.0,0.006828188025625478
66,2014,2014_06,Coromandel,NAT,20547.0,0.5416941288128444
67,2014,2014_06,Coromandel,NZF,4741.0,0.12499011362737603
68,2014,2014_06,Coromandel,TPM,184.0,0.004850913500830455
69,2014,2014_06,Coromandel,UNF,64.0,0.0016872742611584192
70,2014,2014_07,Dunedin North,ACT,111.0,0.003168531628225622
71,2014,2014_07,Dunedin North,CON,956.0,0.027289335464717974
72,2014,2014_07,Dunedin North,GRN,8035.0,0.22936172642155744
73,2014,2014_07,Dunedin North,LAB,11147.0,0.31819479333181094
74,2014,2014_07,Dunedin North,MIN,304.0,0.008677780315140443
75,2014,2014_07,Dunedin North,MNA,603.0,0.017212833980360814
76,2014,2014_07,Dunedin North,NAT,11302.0,0.3226193194793332
77,2014,2014_07,Dunedin North,NZF,2364.0,0.06748116008221056
78,2014,2014_07,Dunedin North,TPM,124.0,0.003539620918017812
79,2014,2014_07,Dunedin North,UNF,86.0,0.002454898378625257
80,2014,2014_08,Dunedin South,ACT,125.0,0.0033219942595939193
81,2014,2014_08,Dunedin South,CON,1104.0,0.029339853300733496
82,2014,2014_08,Dunedin South,GRN,4626.0,0.12294036355905177
83,2014,2014_08,Dunedin South,LAB,12518.0,0.33267779313277346
84,2014,2014_08,Dunedin South,MIN,358.0,0.009514191559476986
85,2014,2014_08,Dunedin South,MNA,307.0,0.008158817901562665
86,2014,2014_08,Dunedin South,NAT,15003.0,0.3987190390135006
87,2014,2014_08,Dunedin South,NZF,3429.0,0.0911289465291804
88,2014,2014_08,Dunedin South,TPM,95.0,0.002524715637291379
89,2014,2014_08,Dunedin South,UNF,63.0,0.0016742851068353355
90,2014,2014_09,East Coast,ACT,82.0,0.00232432892088778
91,2014,2014_09,East Coast,CON,1438.0,0.040760792539471076
92,2014,2014_09,East Coast,GRN,3248.0,0.09206610164687208
93,2014,2014_09,East Coast,LAB,8022.0,0.22738739760197285
94,2014,2014_09,East Coast,MIN,336.0,0.009524079480710905
95,2014,2014_09,East Coast,MNA,413.0,0.01170668102837382
96,2014,2014_09,East Coast,NAT,17152.0,0.4861815811105757
97,2014,2014_09,East Coast,NZF,4176.0,0.11837070211740695
98,2014,2014_09,East Coast,TPM,334.0,0.009467388531420958
99,2014,2014_09,East Coast,UNF,78.0,0.0022109470223078886
100,2014,2014_10,East Coast Bays,ACT,580.0,0.017592817277359864
101,2014,2014_10,East Coast Bays,CON,2210.0,0.06703470031545741
102,2014,2014_10,East Coast Bays,GRN,2712.0,0.0822615869934482
103,2014,2014_10,East Coast Bays,LAB,4005.0,0.12148143654452803
104,2014,2014_10,East Coast Bays,MIN,186.0,0.005641834506187818
105,2014,2014_10,East Coast Bays,MNA,222.0,0.006733802475127396
106,2014,2014_10,East Coast Bays,NAT,20895.0,0.6337964086386799
107,2014,2014_10,East Coast Bays,NZF,1964.0,0.0595729191943703
108,2014,2014_10,East Coast Bays,TPM,125.0,0.003791555447706867
109,2014,2014_10,East Coast Bays,UNF,69.0,0.002092938607134191
110,2014,2014_11,Epsom,ACT,1023.0,0.027220477888350806
111,2014,2014_11,Epsom,CON,932.0,0.02479910595497845
112,2014,2014_11,Epsom,GRN,4706.0,0.12521951998297057
113,2014,2014_11,Epsom,LAB,5045.0,0.1342397956468522
114,2014,2014_11,Epsom,MIN,117.0,0.0031131924857644615
115,2014,2014_11,Epsom,MNA,312.0,0.008301846628705232
116,2014,2014_11,Epsom,NAT,23904.0,0.6360491724761854
117,2014,2014_11,Epsom,NZF,1308.0,0.03480389548187962
118,2014,2014_11,Epsom,TPM,174.0,0.004629876004470225
119,2014,2014_11,Epsom,UNF,61.0,0.00162311744984301
120,2014,2014_12,Hamilton East,ACT,250.0,0.007190726838668853
121,2014,2014_12,Hamilton East,CON,1672.0,0.048091581097017284
122,2014,2014_12,Hamilton East,GRN,3833.0,0.11024822389047084
123,2014,2014_12,Hamilton East,LAB,8264.0,0.23769666637903758
124,2014,2014_12,Hamilton East,MIN,198.0,0.005695055656225731
125,2014,2014_12,Hamilton East,MNA,348.0,0.010009491759427043
126,2014,2014_12,Hamilton East,NAT,17395.0,0.5003307734345788
127,2014,2014_12,Hamilton East,NZF,2481.0,0.07136077314694969
128,2014,2014_12,Hamilton East,TPM,222.0,0.0063853654327379415
129,2014,2014_12,Hamilton East,UNF,104.0,0.002991342364886243
130,2014,2014_13,Hamilton West,ACT,160.0,0.004752004752004752
131,2014,2014_13,Hamilton West,CON,1571.0,0.046658746658746655
132,2014,2014_13,Hamilton West,GRN,2765.0,0.08212058212058213
133,2014,2014_13,Hamilton West,LAB,8649.0,0.25687555687555685
134,2014,2014_13,Hamilton West,MIN,290.0,0.008613008613008613
135,2014,2014_13,Hamilton West,MNA,242.0,0.007187407187407188
136,2014,2014_13,Hamilton West,NAT,16072.0,0.47733887733887737
137,2014,2014_13,Hamilton West,NZF,3644.0,0.10822690822690822
138,2014,2014_13,Hamilton West,TPM,190.0,0.005643005643005643
139,2014,2014_13,Hamilton West,UNF,87.0,0.0025839025839025837
140,2014,2014_64,Hauraki-Waikato,ACT,43.0,0.0020560390169264606
141,2014,2014_64,Hauraki-Waikato,CON,159.0,0.007602562876542029
142,2014,2014_64,Hauraki-Waikato,GRN,2043.0,0.09768576073443626
143,2014,2014_64,Hauraki-Waikato,LAB,9724.0,0.4649517069905327
144,2014,2014_64,Hauraki-Waikato,MIN,359.0,0.01716553504829301
145,2014,2014_64,Hauraki-Waikato,MNA,1689.0,0.08075929999043703
146,2014,2014_64,Hauraki-Waikato,NAT,1583.0,0.07569092473940901
147,2014,2014_64,Hauraki-Waikato,NZF,2796.0,0.1336903509610787
148,2014,2014_64,Hauraki-Waikato,TPM,2504.0,0.11972841159032227
149,2014,2014_64,Hauraki-Waikato,UNF,14.0,0.0006694080520225686
150,2014,2014_14,Helensville,ACT,262.0,0.00740929272362207
151,2014,2014_14,Helensville,CON,1692.0,0.0478493255281242
152,2014,2014_14,Helensville,GRN,4801.0,0.13577104719889144
153,2014,2014_14,Helensville,LAB,4430.0,0.12527926246429683
154,2014,2014_14,Helensville,MIN,256.0,0.00723961426430248
155,2014,2014_14,Helensville,MNA,338.0,0.009558553208336868
156,2014,2014_14,Helensville,NAT,20689.0,0.5850796074771641
157,2014,2014_14,Helensville,NZF,2608.0,0.07375357031758152
158,2014,2014_14,Helensville,TPM,192.0,0.00542971069822686
159,2014,2014_14,Helensville,UNF,93.0,0.0026300161194536356
160,2014,2014_15,Hunua,ACT,313.0,0.008724495484446426
161,2014,2014_15,Hunua,CON,1807.0,0.050367933994871224
162,2014,2014_15,Hunua,GRN,2076.0,0.057865982829746906
163,2014,2014_15,Hunua,LAB,4699.0,0.13097892741665737
164,2014,2014_15,Hunua,MIN,223.0,0.0062158546103244505
165,2014,2014_15,Hunua,MNA,166.0,0.004627048723380533
166,2014,2014_15,Hunua,NAT,22929.0,0.6391180733638087
167,2014,2014_15,Hunua,NZF,3437.0,0.09580220760396922
168,2014,2014_15,Hunua,TPM,144.0,0.004013825398595161
169,2014,2014_15,Hunua,UNF,82.0,0.0022856505742000223
170,2014,2014_16,Hutt South,ACT,256.0,0.00657050459422001
171,2014,2014_16,Hutt South,CON,1391.0,0.03570145269750013
172,2014,2014_16,Hutt South,GRN,4966.0,0.12745752271443972
