,year,electorate_id,electorate_name,party_votes,candidate_votes,registered_voters,total_voters
0,2014,2014_00,Auckland Central,28157,27258,36529,57593
1,2014,2014_01,Bay of Plenty,36587,35814,45791,57242
2,2014,2014_02,Botany,33556,32314,47623,61067
3,2014,2014_03,Christchurch Central,34264,33203,44200,61587
4,2014,2014_04,Christchurch East,32489,31652,42900,60013
5,2014,2014_05,Clutha-Southland,34229,33655,43872,62161
6,2014,2014_06,Coromandel,37931,37351,47848,58879
7,2014,2014_07,Dunedin North,35032,34420,44102,59383
8,2014,2014_08,Dunedin South,37628,37053,46360,58132
9,2014,2014_09,East Coast,35279,34507,46387,61834
10,2014,2014_10,East Coast Bays,32968,32230,43825,58399
11,2014,2014_11,Epsom,37582,36773,48367,60510
12,2014,2014_12,Hamilton East,34767,33802,45465,61981
13,2014,2014_13,Hamilton West,33670,32736,45182,59527
14,2014,2014_14,Helensville,35361,34652,43151,56769
15,2014,2014_15,Hunua,35876,34964,44797,59225
16,2014,2014_16,Hutt South,38962,38437,48361,62302
17,2014,2014_17,Ilam,35304,34403,44807,59578
18,2014,2014_18,Invercargill,34113,33645,44838,59083
19,2014,2014_19,Kaikōura,36669,36121,46080,59174
20,2014,2014_20,Kelston,30701,29647,42373,57582
21,2014,2014_21,Mana,36638,35852,45470,60755
22,2014,2014_22,Māngere,27338,26082,41379,58543
23,2014,2014_23,Manukau East,26569,25419,40487,58132
24,2014,2014_24,Manurewa,27490,25884,40940,59472
25,2014,2014_25,Maungakiekie,34561,33341,46297,62136
26,2014,2014_26,Mt Albert,36746,35716,46498,60531
27,2014,2014_27,Mt Roskill,33921,32976,46270,59201
28,2014,2014_28,Napier,36460,35912,45553,58936
29,2014,2014_29,Nelson,38050,37475,47863,60058
30,2014,2014_30,New Lynn,33484,32487,44930,58248
31,2014,2014_31,New Plymouth,37553,36918,48615,62103
32,2014,2014_32,North Shore,38507,37662,49159,62277
33,2014,2014_33,Northcote,35299,34544,46749,60818
34,2014,2014_34,Northland,35553,34637,45060,60818
35,2014,2014_35,Ōhāriu,37324,36816,45018,57550
36,2014,2014_36,Ōtaki,38412,37874,46927,57466
37,2014,2014_37,Pakuranga,34520,33404,46307,59779
38,2014,2014_38,Palmerston North,34334,33714,43378,59567
39,2014,2014_39,Papakura,34579,33338,45992,61230
40,2014,2014_40,Port Hills,39865,39107,49172,62386
41,2014,2014_41,Rangitata,36197,34975,46468,61035
42,2014,2014_42,Rangitīkei,34665,33950,43097,58720
43,2014,2014_43,Rimutaka,37035,36393,46526,62031
44,2014,2014_44,Rodney,39323,38667,48285,59857
45,2014,2014_45,Rongotai,38514,37811,46806,59753
46,2014,2014_46,Rotorua,33927,33220,43394,58397
47,2014,2014_47,Selwyn,35875,35196,42835,56891
48,2014,2014_48,Tāmaki,36670,35754,45796,57028
49,2014,2014_49,Taranaki-King Country,33579,32755,42184,57187
50,2014,2014_50,Taupō,36241,35565,46359,62552
51,2014,2014_51,Tauranga,37142,36411,46822,58202
52,2014,2014_52,Te Atatū,33112,32166,44674,60897
53,2014,2014_53,Tukituki,35922,35275,45446,60298
54,2014,2014_54,Upper Harbour,33273,32395,45516,61519
55,2014,2014_55,Waikato,35873,34887,45623,61638
56,2014,2014_56,Waimakariri,36054,35520,44488,56742
57,2014,2014_57,Wairarapa,37409,36958,46805,59167
58,2014,2014_58,Waitaki,39639,38974,48721,62488
59,2014,2014_59,Wellington Central,39030,38080,46626,60402
60,2014,2014_60,West Coast-Tasman,35861,35412,45093,59021
61,2014,2014_61,Whanganui,35295,34735,46210,61155
62,2014,2014_62,Whangarei,36832,36184,47087,60522
63,2014,2014_63,Wigram,30567,29662,40693,56895
64,2014,2014_64,Hauraki-Waikato,20914,19803,34648,62309
65,2014,2014_65,Ikaroa-Rāwhiti,21811,21080,34514,58339
66,2014,2014_66,Tāmaki Makaurau,20644,19681,35287,57766
67,2014,2014_67,Te Tai Hauāuru,20465,19568,32557,60847
68,2014,2014_68,Te Tai Tokerau,22651,21714,34504,61498
69,2014,2014_69,Te Tai Tonga,20605,19675,33316,61496
70,2014,2014_70,Waiariki,22169,21346,35115,57676
