,year,electorate_id,electorate_name,party,votes,percentage
0,1999,1996_00,Albany,ACT,4232,0.12279123748730596
1,1999,1996_00,Albany,ALL,1967,0.05707239228202524
2,1999,1996_00,Albany,GRN,1529,0.04436384738140142
3,1999,1996_00,Albany,LAB,10271,0.29801247642535905
4,1999,1996_00,Albany,MIN,1617,0.04691716233860438
5,1999,1996_00,Albany,NAT,13583,0.3941099666328159
6,1999,1996_00,Albany,NZF,1033,0.029972435804439285
7,1999,1996_00,Albany,UNF,233,0.006760481648048745
8,1999,1996_01,Aoraki,ACT,1694,0.04978692138133725
9,1999,1996_01,Aoraki,ALL,2881,0.08467303453343131
10,1999,1996_01,Aoraki,GRN,1505,0.044232182218956646
11,1999,1996_01,Aoraki,LAB,14413,0.42360029390154297
12,1999,1996_01,Aoraki,MIN,2010,0.059074210139603234
13,1999,1996_01,Aoraki,NAT,10393,0.3054518736223365
14,1999,1996_01,Aoraki,NZF,992,0.029155033063923586
15,1999,1996_01,Aoraki,UNF,137,0.004026451138868479
16,1999,1996_02,Auckland Central,ACT,2929,0.08906796411737875
17,1999,1996_02,Auckland Central,ALL,2321,0.0705792914702752
18,1999,1996_02,Auckland Central,GRN,4235,0.12878211950737417
19,1999,1996_02,Auckland Central,LAB,13647,0.4149916375247073
20,1999,1996_02,Auckland Central,MIN,1205,0.03664284628249962
21,1999,1996_02,Auckland Central,NAT,7747,0.2355785312452486
22,1999,1996_02,Auckland Central,NZF,671,0.02040443971415539
23,1999,1996_02,Auckland Central,UNF,130,0.003953170138360954
24,1999,1996_03,Banks Peninsula,ACT,2530,0.06740914419695193
25,1999,1996_03,Banks Peninsula,ALL,2844,0.07577533837791751
26,1999,1996_03,Banks Peninsula,GRN,2739,0.07297772567409144
27,1999,1996_03,Banks Peninsula,LAB,14018,0.37349461792603644
28,1999,1996_03,Banks Peninsula,MIN,1758,0.046840029841202176
29,1999,1996_03,Banks Peninsula,NAT,12643,0.33685921347117126
30,1999,1996_03,Banks Peninsula,NZF,788,0.020995417243951826
31,1999,1996_03,Banks Peninsula,UNF,212,0.005648513268677395
32,1999,1996_04,Bay of Plenty,ACT,2138,0.0619997680083517
33,1999,1996_04,Bay of Plenty,ALL,1769,0.0512991532304837
34,1999,1996_04,Bay of Plenty,GRN,1847,0.05356107180141515
35,1999,1996_04,Bay of Plenty,LAB,11342,0.3289061593782624
36,1999,1996_04,Bay of Plenty,MIN,2679,0.07768820322468391
37,1999,1996_04,Bay of Plenty,NAT,11350,0.329138151026563
38,1999,1996_04,Bay of Plenty,NZF,3178,0.09215868228743765
39,1999,1996_04,Bay of Plenty,UNF,181,0.005248811042802459
40,1999,1996_05,Christchurch Central,ACT,1731,0.052585211738258704
41,1999,1996_05,Christchurch Central,ALL,3369,0.10234522145938392
42,1999,1996_05,Christchurch Central,GRN,2421,0.07354638799441035
43,1999,1996_05,Christchurch Central,LAB,13407,0.40728476821192056
44,1999,1996_05,Christchurch Central,MIN,2069,0.06285315025214168
45,1999,1996_05,Christchurch Central,NAT,8887,0.2699738744759706
46,1999,1996_05,Christchurch Central,NZF,880,0.026733094355671668
47,1999,1996_05,Christchurch Central,UNF,154,0.004678291512242542
48,1999,1996_06,Christchurch East,ACT,1127,0.034986961380851854
49,1999,1996_06,Christchurch East,ALL,3665,0.11377747423320501
50,1999,1996_06,Christchurch East,GRN,1568,0.048677511486402585
51,1999,1996_06,Christchurch East,LAB,15084,0.46827269340618405
52,1999,1996_06,Christchurch East,MIN,2090,0.0648826524276667
53,1999,1996_06,Christchurch East,NAT,7816,0.24264249348069042
54,1999,1996_06,Christchurch East,NZF,719,0.022320874208369552
55,1999,1996_06,Christchurch East,UNF,143,0.004439339376629828
56,1999,1996_07,Clutha-Southland,ACT,2260,0.07376701374155432
57,1999,1996_07,Clutha-Southland,ALL,1883,0.06146163136077292
58,1999,1996_07,Clutha-Southland,GRN,935,0.030518653915200575
59,1999,1996_07,Clutha-Southland,LAB,9182,0.29970297352873976
